,name,lat,lng,vicinity,city
293,"NP CHEMICAL SUPPLY CO.,LTD.",13.7732422,100.3868648,เลขที่ 42/1 ซอยมณฑลทอง หมู่ 19 ถนนพุทธมณฑล 2 แขวงศาลาธรรมสพน์ Thawi Watthana,Q9FP+7P Bangkok
294,บจก. ดาว เคมิคอล ประเทศไทย,13.71804,100.590477,"75 อาคารไวท์กรุ๊ป 2, ถนนสุขุมวิท 42, แขวงพระโขนง เขตคลองเตย กทม, 10110",PH9R+65 Bangkok
295,SCG Chemicals,13.8058794,100.5375315,"1 Siam Cement Alley, Bang Sue",RG4Q+92 Bangkok
296,Eastman Chemical Company,13.7586884,100.5678816,"33/4 The 9th Tower Grand Rama 9, Tower A, 24th Fl., TNA 05, Rama IX Rd, Huai Khwang",QH59+F5 Bangkok
297,"S.M.Chemical Supplies Co.,Ltd.",13.7887567,100.6288392,3/1-2 SMC Building Ladprao 101 Raod Klongjan Bang Kapi District,QJQH+GG Bangkok
298,Civic Chemical LP.,13.687625,100.6872808,28/1 ซ.เฉลิมพระเกียรติฯ 30 แยก 15 แขวงดอกไม้,MMQP+2W Bangkok
299,"Thepthai Chemical Corp.,Ltd.",13.6698401,100.6219947,"หมู่ที่ 12 21/573 Bang Na-Trat Frontage Rd, Bang Na",MJ9C+WQ Bangkok
300,บริษัท เอส.เค.เอ็ม.เคมีคอล จำกัด,13.7490091,100.5112416,"45/7 ซอยเฉลิมเขตร์ 2 ถนนเฉลิมเขตร์ 3 Wat Thepsirin, Pom Prap Sattru Phai",none
301,T.J.K. Chemical Company Limited,13.662544,100.6374942,103 ซอย 7 Bang Na,MJ7P+2X Bangkok
302,Nitro Chemical Industry LTD. (Branch 1),13.747523,100.5194937,"24 Rama I Rd, Rong Muang, Pathum Wan District",PGX9+2Q Bangkok
303,Pitiwat Chemical Service,13.743417,100.5448178,"Ploen Chit Tower, 898 Phloen Chit Rd, Pathum Wan District",PGVV+9W Bangkok
304,Utica Chemical Co. Ltd.,13.719568,100.6022209,"184 Pridi Banomyong 14 Alley, Phra Khanong Nuea, Watthana",PJ92+RV Bangkok
